ID,Title,Author(s),Description,Article Link
1,Microsoft Will End Skype Internet Calling Service in May,Eli Tan,"The company plans to move users of the pioneering service, which it bought in 2011, to Microsoft Teams.",/2025/02/28/technology/microsoft-skype-shutting-down.html
2,Tesla Fires a Manager Who Criticized Elon Musk on Social Media,"Jack Ewing, Ryan Mac and Kate Conger","The employee objected to a post on X by Mr. Musk, Tesla’s chief executive and a top adviser to President Trump, that referred to Nazi leaders.",/2025/02/27/business/elon-musk-tesla-firing-worker.html
3,OpenAI Unveils A.I. Technology for ‘Natural Conversation’,Cade Metz,"The new technology, called GPT-4.5, signifies the end of an era for OpenAI.",/2025/02/27/technology/openai-artificial-intelligence-technology.html
4,Google’s Sergey Brin Urges Workers to the Office ‘at Least’ Every Weekday,Nico Grant,"The tech giant’s co-founder said that if employees worked harder and were in the office more, the company could reach an artificial general intelligence breakthrough.",/2025/02/27/technology/google-sergey-brin-return-to-office.html
5,Nvidia’s Profit Jumps 80% as Company Rides Tech’s A.I. Boom,Tripp Mickle,"The Silicon Valley company, which dominates the market for chips needed to build A.I. systems, said revenue was up 78 percent from a year earlier.",/2025/02/26/technology/nvidia-quarterly-earnings.html
6,Intuitive Machines’ Athena Lander Launches on Journey to the Moon,Kenneth Chang,"The company reached the lunar surface in 2024, and now its second lander aims to improve on the feat. Three other spacecraft also hitched a ride on the SpaceX rocket.",/2025/02/26/science/intuitive-machines-second-moon-landing-launch-how-to-watch.html
7,Tesla Shares Fall 8% as Post-Election Surge Dissipates,Jack Ewing and Neal E. Boudette,"The electric-car maker’s stock has had a bumpy ride since the victory of President Trump, who has given Tesla’s chief, Elon Musk, a role in Washington.",/2025/02/25/business/tesla-stock-elon-musk-trump.html
8,Apple’s Dictation System Transcribes the Word ‘Racist’ as ‘Trump’,Tripp Mickle and Eli Tan,The company said it was working to fix the problem after iPhone users began reporting the issue.,/2025/02/25/technology/iphone-dictation-trump-racist.html
9,Earth’s 1st Asteroid Mining Prospector Heads to the Launchpad,Jonathan O’Callaghan,The dream of mining metals in deep space crashed and burned in the 2010s. AstroForge’s Odin mission to survey a potentially metallic asteroid is packed and ready to lift off.,/2025/02/23/science/astroforge-launch-asteroid-mining.html
10,Big Day for Crypto Goes South in a Hurry After a Giant Hack,David Yaffe-Bellany,"Hours after Coinbase said the S.E.C. was dropping a lawsuit against it, another major cryptocurrency exchange reported a potentially record-setting theft.",/2025/02/22/technology/crypto-exchange-bybit-hack.html
